Participant ID,Participant Type,Program Name,Survey Type,Difficulty Relating,Language Barrier,Disinterest in Interaction,Perspective Understanding,Inflexibility Perception,Understanding,Negative Judgement,Difficulty Hear & Think
1,Senior,West BLUES,Pre,4,,Yes,,,,,
2,Senior,West BLUES,Pre,1,No,No,No,,,,
3,Senior,West BLUES,Pre,1,No,No,No,,,,
4,Senior,West BLUES,Pre,2,No,No,No,,,,
5,Senior,West BLUES,Pre,1,No,No,No,,,,
6,Senior,West BLUES,Pre,5,No,No,No,,,,
7,Senior,West BLUES,Pre,2,No,No,No,,,,
8,Senior,West BLUES,Pre,,Yes,Yes,Yes,,,,
9,Senior,West BLUES,Pre,1,Yes,No,No,,,,
10,Senior,West BLUES,Pre,1,,,Yes,,,,
11,Young,West BLUES,Pre,2,,,,Yes,No,No,
12,Young,West BLUES,Pre,2,,,,No,No,No,
13,Young,West BLUES,Pre,3,,,,No,No,No,
14,Young,West BLUES,Pre,1,,,,No,Yes,No,
15,Young,West BLUES,Pre,2,,,,No,No,No,
16,Young,West BLUES,Pre,3,,,,Yes,No,No,
17,Young,West BLUES,Pre,2,,,,No,Yes,No,
18,Young,West BLUES,Pre,2,,,,No,Yes,No,
19,Young,West BLUES,Pre,5,,,,Yes,No,No,
20,Young,West BLUES,Pre,3,,,,,Yes,,
21,Young,West BLUES,Pre,2,,,,Yes,No,,No
22,Young,West BLUES,Post,1,,,,No,No,,No
23,Young,West BLUES,Post,1,,,,No,No,,No
24,Young,West BLUES,Post,3,,,,No,No,,No
25,Young,West BLUES,Post,1,,,,No,No,,No
26,Young,West BLUES,Post,2,,,,Yes,No,,No
27,Young,West BLUES,Post,,,,,No,No,,No
28,Young,West BLUES,Post,5,,,,No,No,,No
29,Young,West BLUES,Post,1,,,,No,No,,No
30,Young,West BLUES,Post,2,,,,No,No,,No
31,Young,West BLUES,Post,2,,,,No,No,,No
32,Young,West BLUES,Post,2,,,,No,No,,No
33,Senior,West R&B,Pre,1,,,,,,,
34,Senior,West R&B,Pre,4,No,No,No,,,,
35,Senior,West R&B,Pre,1,No,No,No,,,,
36,Senior,West R&B,Pre,1,Yes,No,No,,,,
37,Senior,West R&B,Pre,1,No,Yes,No,,,,
38,Senior,West R&B,Pre,1,No,No,No,,,,
39,Senior,West R&B,Pre,2,No,No,No,,,,
40,Senior,West R&B,Pre,,,,,,,,
41,Senior,West R&B,Pre,1,No,No,No,,,,
42,Senior,West R&B,Pre,1,No,No,No,,,,
43,Young,West R&B,Pre,2,,,,No,No,No,
44,Young,West R&B,Pre,,,,,No,No,No,
45,Young,West R&B,Pre,3,,,,Yes,No,No,
46,Young,West R&B,Pre,2,,,,No,Yes,No,
47,Young,West R&B,Pre,2,,,,No,,No,
48,Young,West R&B,Pre,1,,,,Yes,No,No,
49,Young,West R&B,Pre,4,,,,No,Yes,No,
50,Young,West R&B,Pre,1,,,,No,No,No,
51,Young,West R&B,Pre,2,,,,No,Yes,No,
52,Young,West R&B,Pre,1,,,,No,No,No,
53,Senior,West R&B,Post,1,No,No,No,,,,
