Participant Type,Program Name,Survey Type,Disinterest in Interaction
Senior,West BLUES,Pre,Yes
Senior,West BLUES,Pre,No
Senior,West BLUES,Pre,No
Senior,West BLUES,Pre,No
Senior,West BLUES,Pre,No
Senior,West BLUES,Pre,No
Senior,West BLUES,Pre,No
Senior,West BLUES,Pre,Yes
Senior,West BLUES,Pre,No
Senior,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Senior,West R&B,Pre,
Senior,West R&B,Pre,No
Senior,West R&B,Pre,No
Senior,West R&B,Pre,No
Senior,West R&B,Pre,Yes
Senior,West R&B,Pre,No
Senior,West R&B,Pre,No
Senior,West R&B,Pre,
Senior,West R&B,Pre,No
Senior,West R&B,Pre,No
Young,West R&B,Pre,
Young,West R&B,Pre,
Young,West R&B,Pre,
Young,West R&B,Pre,
Young,West R&B,Pre,
Young,West R&B,Pre,
Young,West R&B,Pre,
Young,West R&B,Pre,
Young,West R&B,Pre,
Young,West R&B,Pre,
Senior,West R&B,Post,No
Senior,West R&B,Post,No
Senior,West R&B,Post,No
Senior,West R&B,Post,No
Senior,West R&B,Post,No
Senior,West R&B,Post,No
Senior,West R&B,Post,No
Senior,West R&B,Post,No
Senior,West R&B,Post,No
Senior,West R&B,Post,No
Senior,West R&B,Post,No
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,LHA,Pre,
Young,LHA,Pre,
Young,LHA,Pre,
Young,LHA,Pre,
Young,LHA,Pre,
Senior,LHA,Pre,Yes
Senior,LHA,Pre,Yes
Senior,LHA,Pre,
Senior,LHA,Pre,No
Senior,LHA,Pre,Yes
Senior,LHA,Pre,No
Senior,LHA,Pre,No
Young,LHA,Post,
Young,LHA,Post,
Young,LHA,Post,
Young,LHA,Post,
Young,LHA,Post,
Senior,LHA,Post,No
Senior,LHA,Post,No
Senior,LHA,Post,No
Senior,LHA,Post,No
Young,Our Homes,Pre,
Young,Our Homes,Pre,
Young,Our Homes,Pre,
Young,Our Homes,Pre,
Young,Our Homes,Pre,
Young,Our Homes,Pre,
Senior,Our Homes,Pre,No
Young,Our Homes,Post,
Young,Our Homes,Post,
Young,Our Homes,Post,
Young,Our Homes,Post,
Young,Our Homes,Post,
Young,Our Homes,Post,
Senior,Our Homes,Post,No
Senior,Our Homes,Post,No
Senior,Our Homes,Post,No
Senior,Our Homes,Post,No
Senior,Our Homes,Post,Yes
Senior,Our Homes,Post,No
Senior,Our Homes,Post,No
Senior,Our Homes,Post,No
Senior,Our Homes,Post,No
Senior,Our Homes,Post,No
Senior,Our Homes,Post,No
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,Yes
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,Yes
Young,Strands of Widom,Pre,Yes
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,Yes
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,Yes
Young,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,Yes
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,Yes
Senior,Strands of Widom,Pre,Yes
Senior,Strands of Widom,Pre,Yes
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
