Participant Type,Program Name,Survey Type,Negative Judgement
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,
Young,West BLUES,Pre,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Young,West BLUES,Post,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,West R&B,Post,
Young,LHA,Pre,Yes
Young,LHA,Pre,No
Young,LHA,Pre,No
Young,LHA,Pre,No
Young,LHA,Pre,No
Senior,LHA,Pre,
Senior,LHA,Pre,
Senior,LHA,Pre,
Senior,LHA,Pre,
Senior,LHA,Pre,
Senior,LHA,Pre,
Senior,LHA,Pre,
Young,LHA,Post,
Young,LHA,Post,
Young,LHA,Post,
Young,LHA,Post,
Young,LHA,Post,
Senior,LHA,Post,
Senior,LHA,Post,
Senior,LHA,Post,
Senior,LHA,Post,
Young,Our Homes,Pre,
Young,Our Homes,Pre,No
Young,Our Homes,Pre,No
Young,Our Homes,Pre,No
Young,Our Homes,Pre,No
Young,Our Homes,Pre,Yes
Senior,Our Homes,Pre,
Young,Our Homes,Post,
Young,Our Homes,Post,
Young,Our Homes,Post,
Young,Our Homes,Post,
Young,Our Homes,Post,
Young,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
