Participant ID,Participant Type,Program Name,Survey Type,Difficulty Relating,Collab Equal Contribution,Collab Enjoyment,Pride in Outcome,Attendance,Meaning Level
1,Senior,West BLUES,Pre,4,3,5,5,,
2,Senior,West BLUES,Pre,1,1,1,1,,
3,Senior,West BLUES,Pre,1,1,1,1,,
4,Senior,West BLUES,Pre,2,3,3,3,,
5,Senior,West BLUES,Pre,1,5,5,5,,
6,Senior,West BLUES,Pre,5,5,5,5,,
7,Senior,West BLUES,Pre,2,2,1,2,,
8,Senior,West BLUES,Pre,,,1,1,,
9,Senior,West BLUES,Pre,1,5,5,5,,
10,Senior,West BLUES,Pre,1,1,1,1,,
11,Young,West BLUES,Pre,2,4,5,5,,
12,Young,West BLUES,Pre,2,5,5,5,,
13,Young,West BLUES,Pre,3,4,4,5,,
14,Young,West BLUES,Pre,1,5,5,5,,
15,Young,West BLUES,Pre,2,3,5,4,,
16,Young,West BLUES,Pre,3,4,4,5,,
17,Young,West BLUES,Pre,2,4,4,5,,
18,Young,West BLUES,Pre,2,4,4,5,,
19,Young,West BLUES,Pre,5,5,5,5,,
20,Young,West BLUES,Pre,3,4,3,4,,
21,Young,West BLUES,Pre,2,5,5,5,,
22,Young,West BLUES,Post,1,5,5,5,1,5
23,Young,West BLUES,Post,1,5,5,5,2,5
24,Young,West BLUES,Post,3,5,5,5,0,3
25,Young,West BLUES,Post,1,5,5,5,0,5
26,Young,West BLUES,Post,2,5,5,5,0,3
27,Young,West BLUES,Post,,5,5,5,0,5
28,Young,West BLUES,Post,5,5,5,5,0,5
29,Young,West BLUES,Post,1,5,5,5,2,3
30,Young,West BLUES,Post,2,5,5,5,1,4
31,Young,West BLUES,Post,2,5,5,5,0,4
32,Young,West BLUES,Post,2,5,5,5,0,5
33,Senior,West R&B,Pre,1,5,5,5,,
34,Senior,West R&B,Pre,4,5,5,5,,
35,Senior,West R&B,Pre,1,5,5,5,,
36,Senior,West R&B,Pre,1,5,5,5,,
37,Senior,West R&B,Pre,1,5,5,5,,
38,Senior,West R&B,Pre,1,1,1,1,,
39,Senior,West R&B,Pre,2,5,5,5,,
40,Senior,West R&B,Pre,,5,5,5,,
41,Senior,West R&B,Pre,1,5,5,5,,
42,Senior,West R&B,Pre,1,5,5,5,,
43,Young,West R&B,Pre,2,5,5,5,,
44,Young,West R&B,Pre,,5,5,5,,
45,Young,West R&B,Pre,3,5,5,5,,
46,Young,West R&B,Pre,2,5,5,5,,
47,Young,West R&B,Pre,2,4.5,4.5,4.5,,
48,Young,West R&B,Pre,1,5,5,5,,
49,Young,West R&B,Pre,4,5,5,5,,
50,Young,West R&B,Pre,1,5,5,5,,
51,Young,West R&B,Pre,2,4,5,5,,
52,Young,West R&B,Pre,1,5,5,5,,
53,Senior,West R&B,Post,1,5,5,5,1,5
54,Senior,West R&B,Post,1,5,5,5,0,5
55,Senior,West R&B,Post,1,5,5,5,0,5
56,Senior,West R&B,Post,1,5,5,5,0,5
57,Senior,West R&B,Post,1,5,5,5,2,5
58,Senior,West R&B,Post,1,5,5,5,0,5
59,Senior,West R&B,Post,1,5,5,5,0,5
60,Senior,West R&B,Post,1,5,5,5,0,1
61,Senior,West R&B,Post,4,5,5,5,1,5
62,Senior,West R&B,Post,1,5,5,5,0,5
63,Senior,West R&B,Post,1,5,5,5,1,5
64,Young,West R&B,Post,3,0,5,5,0,3
65,Young,West R&B,Post,2.5,0,5,5,0,3
66,Young,West R&B,Post,1,5,5,5,2,4
67,Young,West R&B,Post,,5,5,5,3,5
68,Young,West R&B,Post,4,5,5,5,,4
69,Young,West R&B,Post,1,5,5,5,1,5
70,Young,West R&B,Post,1,5,5,5,0,5
71,Young,West R&B,Post,1,5,5,5,0,5
72,Young,West R&B,Post,,5,5,5,,5
73,Young,LHA,Pre,2,3,4,4,,
74,Young,LHA,Pre,4,2,4,4,,
75,Young,LHA,Pre,3,4,4,4,,
76,Young,LHA,Pre,2,5,5,5,,
77,Young,LHA,Pre,1,5,5,5,,
78,Senior,LHA,Pre,2,5,4,5,,
79,Senior,LHA,Pre,1,1,1,1,,
80,Senior,LHA,Pre,1,5,,,,
81,Senior,LHA,Pre,5,1,1,1,,
82,Senior,LHA,Pre,1,5,5,5,,
83,Senior,LHA,Pre,1,5,5,5,,
84,Senior,LHA,Pre,1,1,1,1,,
85,Young,LHA,Post,1,5,5,5,1,
86,Young,LHA,Post,2,5,5,5,1,
87,Young,LHA,Post,1,5,5,5,2,4
88,Young,LHA,Post,4,5,5,5,0,4
89,Young,LHA,Post,2,5,5,5,3,5
90,Senior,LHA,Post,1,5,5,5,,5
91,Senior,LHA,Post,1,5,5,5,3,5
92,Senior,LHA,Post,1,5,5,5,3,4
93,Senior,LHA,Post,2,0,5,5,0,3
94,Young,Our Homes,Pre,3,3,3,3,,
95,Young,Our Homes,Pre,1,4,5,5,,
96,Young,Our Homes,Pre,4,5,5,5,,
97,Young,Our Homes,Pre,2,4,4,4,,
98,Young,Our Homes,Pre,3,5,5,5,,
99,Young,Our Homes,Pre,3,3,3,4,,
100,Senior,Our Homes,Pre,2,5,5,5,,
101,Young,Our Homes,Post,1,5,5,5,0,5
102,Young,Our Homes,Post,4,5,5,5,0,4
103,Young,Our Homes,Post,2,5,5,5,0,3
104,Young,Our Homes,Post,2,5,5,5,0,5
105,Young,Our Homes,Post,1,5,5,5,0,5
106,Young,Our Homes,Post,1,5,5,5,0,3
107,Senior,Our Homes,Post,1,5,5,5,0,5
108,Senior,Our Homes,Post,1,5,5,5,1,5
109,Senior,Our Homes,Post,1,5,5,5,0,5
110,Senior,Our Homes,Post,3,,,,1,4
111,Senior,Our Homes,Post,1,5,5,5,0,4
112,Senior,Our Homes,Post,1,5,5,5,0,5
113,Senior,Our Homes,Post,1,5,5,5,0,5
114,Senior,Our Homes,Post,1,5,5,5,0,5
115,Senior,Our Homes,Post,1,5,5,5,2,5
116,Senior,Our Homes,Post,1,5,5,5,1,4
117,Senior,Our Homes,Post,5,5,5,5,0,5
118,Young,Strands of Widom,Pre,1,5,5,5,,
119,Young,Strands of Widom,Pre,1,5,4,5,,
120,Young,Strands of Widom,Pre,4,4,1,1,,
121,Young,Strands of Widom,Pre,3,4,4,5,,
122,Young,Strands of Widom,Pre,4,5,5,5,,
123,Young,Strands of Widom,Pre,,5,5,5,,
124,Young,Strands of Widom,Pre,1,2,3,4,,
125,Young,Strands of Widom,Pre,3,2,3,1.5,,
126,Young,Strands of Widom,Pre,,3,5,3,,
127,Young,Strands of Widom,Pre,3,4,4,4,,
128,Young,Strands of Widom,Pre,2,4,3,3,,
129,Young,Strands of Widom,Pre,3,3,3,3,,
130,Young,Strands of Widom,Pre,1,5,4.5,4.5,,
131,Young,Strands of Widom,Pre,1,3,4,4,,
132,Young,Strands of Widom,Pre,3,3,4,3,,
133,Senior,Strands of Widom,Pre,1,2,2,2,,
134,Senior,Strands of Widom,Pre,4,5,5,5,,
135,Senior,Strands of Widom,Pre,1,5,5,5,,
136,Senior,Strands of Widom,Pre,1,5,5,5,,
137,Senior,Strands of Widom,Pre,1,5,5,4,,
138,Senior,Strands of Widom,Pre,1,5,5,5,,
139,Senior,Strands of Widom,Pre,2,5,5,5,,
140,Senior,Strands of Widom,Pre,1,5,5,5,,
141,Senior,Strands of Widom,Pre,3,5,5,5,,
142,Senior,Strands of Widom,Pre,3,4,4,4,,
143,Senior,Strands of Widom,Pre,2,5,5,5,,
144,Senior,Strands of Widom,Pre,3,2,1,1,,
145,Young,Strands of Widom,Post,3,5,5,5,,3
146,Young,Strands of Widom,Post,,5,5,5,2,2
147,Young,Strands of Widom,Post,1,5,5,5,3,3
148,Young,Strands of Widom,Post,1,5,5,5,3,5
149,Young,Strands of Widom,Post,1,5,5,5,2,3
150,Young,Strands of Widom,Post,2,5,5,5,2,5
151,Young,Strands of Widom,Post,1,5,5,5,1,2
152,Young,Strands of Widom,Post,1,5,5,5,,5
153,Young,Strands of Widom,Post,2,5,5,5,1,3
154,Young,Strands of Widom,Post,2,0,5,5,1,4
155,Young,Strands of Widom,Post,4,5,5,5,1,4
156,Senior,Strands of Widom,Post,2,5,5,5,1,4
157,Senior,Strands of Widom,Post,1,5,5,5,2,5
158,Senior,Strands of Widom,Post,1,5,5,5,0,5
159,Senior,Strands of Widom,Post,1,5,5,5,0,4
160,Senior,Strands of Widom,Post,1,5,5,5,1,4
161,Senior,Strands of Widom,Post,1,5,,,0,3
162,Senior,Strands of Widom,Post,2,0,5,5,1,4
163,Senior,Strands of Widom,Post,1,5,5,5,1,5
164,Senior,Strands of Widom,Post,2,5,5,5,1,3.5
165,Senior,Strands of Widom,Post,1,5,5,5,1,4
166,Senior,Strands of Widom,Post,1.5,5,5,5,1,4
,,,,,,,,,
Art on Sedgewick,,,,,,,,,
