Participant Type,Program Name,Survey Type,Disinterest in Interaction
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,Yes
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,Yes
Young,Strands of Widom,Pre,Yes
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,Yes
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,No
Young,Strands of Widom,Pre,Yes
Young,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,Yes
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,No
Senior,Strands of Widom,Pre,Yes
Senior,Strands of Widom,Pre,Yes
Senior,Strands of Widom,Pre,Yes
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Young,Strands of Widom,Post,
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
Senior,Strands of Widom,Post,No
